,State,County name,CountyFIPS,Arthritis-Crude Prevalence,color
0,AL,AUTAUGA,1001,30.3,"[1, 0.39370000000000005, 1]"
1,AL,BALDWIN,1003,31.9,"[1, 0.3429, 1]"
2,AL,BARBOUR,1005,34.3,"[1, 0.26670000000000005, 1]"
3,AL,BIBB,1007,30.4,"[1, 0.39049999999999996, 1]"
4,AL,BLOUNT,1009,32.7,"[1, 0.3175, 1]"
5,AL,BULLOCK,1011,32.7,"[1, 0.3175, 1]"
6,AL,BUTLER,1013,37.6,"[1, 0.16190000000000004, 1]"
7,AL,CALHOUN,1015,35.5,"[1, 0.22860000000000003, 1]"
8,AL,CHAMBERS,1017,36.7,"[1, 0.1905, 1]"
9,AL,CHEROKEE,1019,37.2,"[1, 0.17459999999999998, 1]"
10,AL,CHILTON,1021,33.1,"[1, 0.30479999999999996, 1]"
11,AL,CHOCTAW,1023,38.6,"[1, 0.13019999999999998, 1]"
12,AL,CLARKE,1025,36.5,"[1, 0.19679999999999997, 1]"
13,AL,CLAY,1027,35.5,"[1, 0.22860000000000003, 1]"
14,AL,CLEBURNE,1029,33.7,"[1, 0.28569999999999995, 1]"
15,AL,COFFEE,1031,30.9,"[1, 0.37460000000000004, 1]"
16,AL,COLBERT,1033,33.1,"[1, 0.30479999999999996, 1]"
17,AL,CONECUH,1035,40.2,"[1, 0.07940000000000003, 1]"
18,AL,COOSA,1037,37.9,"[1, 0.15239999999999998, 1]"
19,AL,COVINGTON,1039,35.9,"[1, 0.21589999999999998, 1]"
20,AL,CRENSHAW,1041,34.8,"[1, 0.2508, 1]"
21,AL,CULLMAN,1043,32.7,"[1, 0.3175, 1]"
22,AL,DALE,1045,31.4,"[1, 0.3587, 1]"
23,AL,DALLAS,1047,36.0,"[1, 0.2127, 1]"
24,AL,DEKALB,1049,33.3,"[1, 0.2984, 1]"
25,AL,ELMORE,1051,30.0,"[1, 0.4032, 1]"
26,AL,ESCAMBIA,1053,34.7,"[1, 0.254, 1]"
27,AL,ETOWAH,1055,35.3,"[1, 0.2349, 1]"
28,AL,FAYETTE,1057,35.7,"[1, 0.22219999999999995, 1]"
29,AL,FRANKLIN,1059,31.2,"[1, 0.3651, 1]"
30,AL,GENEVA,1061,35.4,"[1, 0.23170000000000002, 1]"
31,AL,GREENE,1063,41.1,"[1, 0.050799999999999956, 1]"
32,AL,HALE,1065,37.0,"[1, 0.18100000000000005, 1]"
33,AL,HENRY,1067,35.7,"[1, 0.22219999999999995, 1]"
34,AL,HOUSTON,1069,33.3,"[1, 0.2984, 1]"
35,AL,JACKSON,1071,34.0,"[1, 0.2762, 1]"
36,AL,JEFFERSON,1073,29.8,"[1, 0.4095, 1]"
37,AL,LAMAR,1075,37.8,"[1, 0.15559999999999996, 1]"
38,AL,LAUDERDALE,1077,34.8,"[1, 0.2508, 1]"
39,AL,LAWRENCE,1079,34.4,"[1, 0.26349999999999996, 1]"
40,AL,LEE,1081,24.8,"[1, 0.5683, 1]"
41,AL,LIMESTONE,1083,31.3,"[1, 0.3619, 1]"
42,AL,LOWNDES,1085,36.6,"[1, 0.19369999999999998, 1]"
43,AL,MACON,1087,33.2,"[1, 0.3016, 1]"
44,AL,MADISON,1089,27.0,"[1, 0.49839999999999995, 1]"
45,AL,MARENGO,1091,36.1,"[1, 0.20950000000000002, 1]"
46,AL,MARION,1093,35.3,"[1, 0.2349, 1]"
47,AL,MARSHALL,1095,33.4,"[1, 0.2952, 1]"
48,AL,MOBILE,1097,30.6,"[1, 0.3841, 1]"
49,AL,MONROE,1099,35.7,"[1, 0.22219999999999995, 1]"
50,AL,MONTGOMERY,1101,31.2,"[1, 0.3651, 1]"
51,AL,MORGAN,1103,32.3,"[1, 0.33020000000000005, 1]"
52,AL,PERRY,1105,35.7,"[1, 0.22219999999999995, 1]"
53,AL,PICKENS,1107,34.7,"[1, 0.254, 1]"
54,AL,PIKE,1109,27.2,"[1, 0.4921, 1]"
55,AL,RANDOLPH,1111,35.5,"[1, 0.22860000000000003, 1]"
56,AL,RUSSELL,1113,31.3,"[1, 0.3619, 1]"
57,AL,ST. CLAIR,1115,31.0,"[1, 0.37139999999999995, 1]"
58,AL,SHELBY,1117,28.4,"[1, 0.45399999999999996, 1]"
59,AL,SUMTER,1119,36.0,"[1, 0.2127, 1]"
60,AL,TALLADEGA,1121,35.2,"[1, 0.23809999999999998, 1]"
61,AL,TALLAPOOSA,1123,34.6,"[1, 0.2571, 1]"
62,AL,TUSCALOOSA,1125,26.5,"[1, 0.5143, 1]"
63,AL,WALKER,1127,38.5,"[1, 0.13329999999999997, 1]"
64,AL,WASHINGTON,1129,33.1,"[1, 0.30479999999999996, 1]"
65,AL,WILCOX,1131,39.5,"[1, 0.10160000000000002, 1]"
66,AL,WINSTON,1133,36.8,"[1, 0.18730000000000002, 1]"
67,AK,ALEUTIANS EAST BOROUGH,2013,15.7,"[1, 0.8571, 1]"
68,AK,ALEUTIANS WEST CENSUS AREA,2016,15.2,"[1, 0.873, 1]"
69,AK,ANCHORAGE BOROUGH,2020,17.8,"[1, 0.7905, 1]"
70,AK,BETHEL CENSUS AREA,2050,21.8,"[1, 0.6635, 1]"
71,AK,BRISTOL BAY BOROUGH,2060,22.0,"[1, 0.6571, 1]"
72,AK,DENALI BOROUGH,2068,19.4,"[1, 0.7397, 1]"
73,AK,DILLINGHAM CENSUS AREA,2070,24.7,"[1, 0.5714, 1]"
74,AK,FAIRBANKS NORTH STAR BOROUGH,2090,17.2,"[1, 0.8095, 1]"
75,AK,HAINES BOROUGH,2100,26.6,"[1, 0.5111, 1]"
76,AK,HOONAH-ANGOON CENSUS AREA,2105,28.8,"[1, 0.4413, 1]"
77,AK,JUNEAU BOROUGH,2110,20.6,"[1, 0.7016, 1]"
78,AK,KENAI PENINSULA BOROUGH,2122,22.4,"[1, 0.6444, 1]"
79,AK,KETCHIKAN GATEWAY BOROUGH,2130,22.9,"[1, 0.6286, 1]"
80,AK,KODIAK ISLAND BOROUGH,2150,18.5,"[1, 0.7683, 1]"
81,AK,WADE HAMPTON CENSUS AREA,2158,25.0,"[1, 0.5619000000000001, 1]"
82,AK,LAKE AND PENINSULA BOROUGH,2164,23.8,"[1, 0.6, 1]"
83,AK,MATANUSKA-SUSITNA BOROUGH,2170,22.9,"[1, 0.6286, 1]"
84,AK,NOME CENSUS AREA,2180,23.7,"[1, 0.6032, 1]"
85,AK,NORTH SLOPE BOROUGH,2185,19.2,"[1, 0.746, 1]"
86,AK,NORTHWEST ARCTIC BOROUGH,2188,22.7,"[1, 0.6349, 1]"
87,AK,PETERSBURG CENSUS AREA,2195,23.0,"[1, 0.6254, 1]"
88,AK,PRINCE OF WALES-HYDER CENSUS AREA,2198,26.6,"[1, 0.5111, 1]"
89,AK,SITKA BOROUGH,2220,23.1,"[1, 0.6222, 1]"
90,AK,SKAGWAY MUNICIPALITY,2230,18.6,"[1, 0.7651, 1]"
91,AK,SOUTHEAST FAIRBANKS CENSUS AREA,2240,23.6,"[1, 0.6063000000000001, 1]"
92,AK,VALDEZ-CORDOVA CENSUS AREA,2261,21.9,"[1, 0.6603, 1]"
93,AK,WRANGELL CITY AND BOROUGH,2275,26.6,"[1, 0.5111, 1]"
94,AK,YAKUTAT BOROUGH,2282,24.3,"[1, 0.5841000000000001, 1]"
95,AK,YUKON-KOYUKUK CENSUS AREA,2290,25.6,"[1, 0.5428999999999999, 1]"
96,AZ,APACHE,4001,29.1,"[1, 0.4317, 1]"
97,AZ,COCHISE,4003,26.3,"[1, 0.5206, 1]"
98,AZ,COCONINO,4005,21.7,"[1, 0.6667000000000001, 1]"
99,AZ,GILA,4007,31.6,"[1, 0.35240000000000005, 1]"
100,AZ,GRAHAM,4009,24.0,"[1, 0.5937, 1]"
101,AZ,GREENLEE,4011,21.5,"[1, 0.673, 1]"
102,AZ,LA PAZ,4012,33.7,"[1, 0.28569999999999995, 1]"
103,AZ,MARICOPA,4013,21.2,"[1, 0.6825, 1]"
104,AZ,MOHAVE,4015,32.2,"[1, 0.33330000000000004, 1]"
105,AZ,NAVAJO,4017,28.5,"[1, 0.4508, 1]"
106,AZ,PIMA,4019,22.7,"[1, 0.6349, 1]"
107,AZ,PINAL,4021,26.6,"[1, 0.5111, 1]"
108,AZ,SANTA CRUZ,4023,23.9,"[1, 0.5968, 1]"
109,AZ,YAVAPAI,4025,31.2,"[1, 0.3651, 1]"
110,AZ,YUMA,4027,23.8,"[1, 0.6, 1]"
111,AR,ARKANSAS,5001,29.9,"[1, 0.4063, 1]"
112,AR,ASHLEY,5003,30.7,"[1, 0.381, 1]"
113,AR,BAXTER,5005,34.9,"[1, 0.24760000000000004, 1]"
114,AR,BENTON,5007,24.1,"[1, 0.5905, 1]"
115,AR,BOONE,5009,33.4,"[1, 0.2952, 1]"
116,AR,BRADLEY,5011,31.6,"[1, 0.35240000000000005, 1]"
117,AR,CALHOUN,5013,31.3,"[1, 0.3619, 1]"
118,AR,CARROLL,5015,30.7,"[1, 0.381, 1]"
119,AR,CHICOT,5017,33.6,"[1, 0.28890000000000005, 1]"
120,AR,CLARK,5019,25.8,"[1, 0.5365, 1]"
121,AR,CLAY,5021,32.7,"[1, 0.3175, 1]"
122,AR,CLEBURNE,5023,33.1,"[1, 0.30479999999999996, 1]"
123,AR,CLEVELAND,5025,31.2,"[1, 0.3651, 1]"
124,AR,COLUMBIA,5027,28.4,"[1, 0.45399999999999996, 1]"
125,AR,CONWAY,5029,31.4,"[1, 0.3587, 1]"
126,AR,CRAIGHEAD,5031,26.2,"[1, 0.5238, 1]"
127,AR,CRAWFORD,5033,30.8,"[1, 0.3778, 1]"
128,AR,CRITTENDEN,5035,27.6,"[1, 0.47940000000000005, 1]"
129,AR,CROSS,5037,31.2,"[1, 0.3651, 1]"
130,AR,DALLAS,5039,33.1,"[1, 0.30479999999999996, 1]"
131,AR,DESHA,5041,34.3,"[1, 0.26670000000000005, 1]"
132,AR,DREW,5043,28.2,"[1, 0.46030000000000004, 1]"
133,AR,FAULKNER,5045,22.1,"[1, 0.654, 1]"
134,AR,FRANKLIN,5047,30.0,"[1, 0.4032, 1]"
135,AR,FULTON,5049,35.4,"[1, 0.23170000000000002, 1]"
136,AR,GARLAND,5051,31.5,"[1, 0.3556, 1]"
137,AR,GRANT,5053,26.8,"[1, 0.5048, 1]"
138,AR,GREENE,5055,27.6,"[1, 0.47940000000000005, 1]"
139,AR,HEMPSTEAD,5057,32.3,"[1, 0.33020000000000005, 1]"
140,AR,HOT SPRING,5059,29.5,"[1, 0.41900000000000004, 1]"
141,AR,HOWARD,5061,31.1,"[1, 0.36829999999999996, 1]"
142,AR,INDEPENDENCE,5063,29.0,"[1, 0.43489999999999995, 1]"
143,AR,IZARD,5065,34.4,"[1, 0.26349999999999996, 1]"
144,AR,JACKSON,5067,30.2,"[1, 0.39680000000000004, 1]"
145,AR,JEFFERSON,5069,28.0,"[1, 0.4667, 1]"
146,AR,JOHNSON,5071,29.7,"[1, 0.41269999999999996, 1]"
147,AR,LAFAYETTE,5073,33.2,"[1, 0.3016, 1]"
148,AR,LAWRENCE,5075,32.0,"[1, 0.3397, 1]"
149,AR,LEE,5077,29.9,"[1, 0.4063, 1]"
150,AR,LINCOLN,5079,26.6,"[1, 0.5111, 1]"
151,AR,LITTLE RIVER,5081,32.4,"[1, 0.32699999999999996, 1]"
152,AR,LOGAN,5083,31.6,"[1, 0.35240000000000005, 1]"
153,AR,LONOKE,5085,25.6,"[1, 0.5428999999999999, 1]"
154,AR,MADISON,5087,31.4,"[1, 0.3587, 1]"
155,AR,MARION,5089,36.6,"[1, 0.19369999999999998, 1]"
156,AR,MILLER,5091,28.0,"[1, 0.4667, 1]"
157,AR,MISSISSIPPI,5093,31.5,"[1, 0.3556, 1]"
158,AR,MONROE,5095,35.9,"[1, 0.21589999999999998, 1]"
159,AR,MONTGOMERY,5097,34.8,"[1, 0.2508, 1]"
160,AR,NEVADA,5099,34.8,"[1, 0.2508, 1]"
161,AR,NEWTON,5101,34.0,"[1, 0.2762, 1]"
162,AR,OUACHITA,5103,33.6,"[1, 0.28890000000000005, 1]"
163,AR,PERRY,5105,30.3,"[1, 0.39370000000000005, 1]"
164,AR,PHILLIPS,5107,33.0,"[1, 0.30789999999999995, 1]"
165,AR,PIKE,5109,31.4,"[1, 0.3587, 1]"
166,AR,POINSETT,5111,30.5,"[1, 0.3873, 1]"
167,AR,POLK,5113,32.4,"[1, 0.32699999999999996, 1]"
168,AR,POPE,5115,26.1,"[1, 0.527, 1]"
169,AR,PRAIRIE,5117,33.8,"[1, 0.2825, 1]"
170,AR,PULASKI,5119,27.0,"[1, 0.49839999999999995, 1]"
171,AR,RANDOLPH,5121,31.4,"[1, 0.3587, 1]"
172,AR,ST. FRANCIS,5123,30.3,"[1, 0.39370000000000005, 1]"
173,AR,SALINE,5125,27.5,"[1, 0.48250000000000004, 1]"
174,AR,SCOTT,5127,31.5,"[1, 0.3556, 1]"
175,AR,SEARCY,5129,36.0,"[1, 0.2127, 1]"
176,AR,SEBASTIAN,5131,27.4,"[1, 0.4857, 1]"
177,AR,SEVIER,5133,29.1,"[1, 0.4317, 1]"
178,AR,SHARP,5135,35.1,"[1, 0.24129999999999996, 1]"
179,AR,STONE,5137,35.6,"[1, 0.22540000000000004, 1]"
180,AR,UNION,5139,29.1,"[1, 0.4317, 1]"
181,AR,VAN BUREN,5141,35.7,"[1, 0.22219999999999995, 1]"
182,AR,WASHINGTON,5143,21.3,"[1, 0.6794, 1]"
183,AR,WHITE,5145,25.7,"[1, 0.5397000000000001, 1]"
184,AR,WOODRUFF,5147,34.4,"[1, 0.26349999999999996, 1]"
185,AR,YELL,5149,30.1,"[1, 0.4, 1]"
186,CA,ALAMEDA,6001,17.8,"[1, 0.7905, 1]"
187,CA,ALPINE,6003,29.3,"[1, 0.4254, 1]"
188,CA,AMADOR,6005,26.7,"[1, 0.5079, 1]"
189,CA,BUTTE,6007,22.9,"[1, 0.6286, 1]"
190,CA,CALAVERAS,6009,28.0,"[1, 0.4667, 1]"
191,CA,COLUSA,6011,20.9,"[1, 0.6920999999999999, 1]"
192,CA,CONTRA COSTA,6013,20.7,"[1, 0.6984, 1]"
193,CA,DEL NORTE,6015,25.4,"[1, 0.5492, 1]"
194,CA,EL DORADO,6017,23.7,"[1, 0.6032, 1]"
195,CA,FRESNO,6019,19.8,"[1, 0.727, 1]"
196,CA,GLENN,6021,23.2,"[1, 0.619, 1]"
197,CA,HUMBOLDT,6023,23.1,"[1, 0.6222, 1]"
198,CA,IMPERIAL,6025,20.0,"[1, 0.7206, 1]"
199,CA,INYO,6027,26.9,"[1, 0.5016, 1]"
200,CA,KERN,6029,20.7,"[1, 0.6984, 1]"
201,CA,KINGS,6031,17.5,"[1, 0.8, 1]"
202,CA,LAKE,6033,28.2,"[1, 0.46030000000000004, 1]"
