,Legal Name,City,State,Zip,Country/Area,lat,lon,display,address
0,Xytex Laboratories,Marietta,Georgia,30060,United States,33.9528472,-84.5496148,"Marietta, Cobb County, Georgia, United States","30060 , Marietta , Georgia"
1,"New Jersey Organ & Tissue Sharing Network, Inc.",Edison,New Jersey,08837,United States,40.538457,-74.39450186737218,"Edison, Middlesex County, New Jersey, United States","08837 , Edison , New Jersey"
2,"Wright Medical Technology, Inc.",Orlando,Florida,32822,United States,28.5421109,-81.3790304,"Orlando, Orange County, Florida, United States","32822 , Orlando , Florida"
3,Laboratory Corp. of America,Raritan,New Jersey,08869,United States,40.567181,-74.634683,"Raritan, Somerset County, New Jersey, 08869, United States","08869 , Raritan , New Jersey"
4,"Wright Medical Technology, Inc. - District Service Center - St. Louis",Fenton,Missouri,63026,United States,38.53184735,-90.49810012926211,"Missouri House Rabbit Society - St. Louis Chapter, 75, Elizabeth Drive, Fenton, Saint Louis County, Missouri, 63026, United States","63026 , Fenton , Missouri"
5,Innotek Medical Products Inc.,Oak Brook,Illinois,60523,United States,41.83894804632035,-87.95467960714285,"Oak Brook, DuPage County, Illinois, 60523, United States","60523 , Oak Brook , Illinois"
6,"Promethean LifeSciences, Inc.",Pittsburgh,Pennsylvania,15219,United States,40.444186656722685,-79.98036250084034,"Pittsburgh, Allegheny County, Pennsylvania, 15219, United States","15219 , Pittsburgh , Pennsylvania"
7,LifeNet Health (Sabre Street),Virginia Beach,Virginia,23452,United States,36.838799376683625,-76.09376831143405,"Virginia Beach, Virginia, 23452, United States","23452 , Virginia Beach , Virginia"
8,Advancing Sight Network,Birmingham,Alabama,35209,United States,33.5206824,-86.8024326,"Birmingham, Jefferson County, Alabama, United States","35209 , Birmingham , Alabama"
9,"Synergy Health AST, LLC",Saxonburg,Pennsylvania,16056,United States,40.7539956,-79.8103943,"Saxonburg, Butler County, Pennsylvania, United States","16056 , Saxonburg , Pennsylvania"
10,Mississippi Organ Recovery Agency Inc,Flowood,Mississippi,39232,United States,32.33242036044776,-90.08517370597016,"Flowood, Rankin County, Mississippi, 39232, United States","39232 , Flowood , Mississippi"
