,Legal Name,City,State,Zip,Country/Area,lat,lon,display,address
0,3D Dental Designs and Development LLC,Shaker Heights,Ohio,44120,United States,41.47597320643275,-81.58245206335282,"Shaker Heights, Cuyahoga County, Ohio, 44120, United States","44120 , Shaker Heights , Ohio"
1,A & N Forwarding Inc,Laredo,Texas,78045,United States,27.60048904765625,-99.49101758671875,"Laredo, Webb County, Texas, 78045, United States","78045 , Laredo , Texas"
2,"AEGIS Spine, Inc.",Englewood,Colorado,80112,United States,39.541827,-104.84612446579108,"Douglas County Soccer Association / REAL Colorado, Englewood, Douglas County, Colorado, 80112, United States","80112 , Englewood , Colorado"
3,AFMC Diamond Lab,Diamond Bar,California,91765,United States,34.00734638835979,-117.81298765880577,"Diamond Bar, Los Angeles County, California, 91765, United States","91765 , Diamond Bar , California"
4,AFS PC dba Alabama Fertility Specialists,Mountain Brk,Alabama,35223,United States,33.48667557578125,-86.74340698242187,"Mountain Brook, Jefferson County, Alabama, 35223, United States","35223 , Mountain Brk , Alabama"
5,"AGORA Health Solutions, LLC",Boca Raton,Florida,33487,United States,26.40798749570957,-80.0874489191419,"Boca Raton, Palm Beach County, Florida, 33487, United States","33487 , Boca Raton , Florida"
6,AHN Center for Reproductive Medicine,Pittsburgh,Pennsylvania,15237,United States,40.4416941,-79.9900861,"Pittsburgh, Allegheny County, Pennsylvania, United States","15237 , Pittsburgh , Pennsylvania"
7,"ARK-LA-TEX Fertility and Reproductive Medicine, PMC",Shreveport,Louisiana,71103,United States,32.492487847368416,-93.7689694754386,"Shreveport, Caddo Parish, Louisiana, 71103, United States","71103 , Shreveport , Louisiana"
8,ART Fertility Program of Alabama,Birmingham,Alabama,35209,United States,33.5206824,-86.8024326,"Birmingham, Jefferson County, Alabama, United States","35209 , Birmingham , Alabama"
9,ATSF NW Office,Eau Claire,Wisconsin,54703,United States,44.811349,-91.4984941,"Eau Claire, Eau Claire County, Wisconsin, United States","54703 , Eau Claire , Wisconsin"
10,Absorption Systems,Exton,Pennsylvania,19341,United States,40.0289955,-75.6207651,"Exton, West Whiteland Township, Chester County, Pennsylvania, 19341, United States","19341 , Exton , Pennsylvania"
11,Acacio Fertility Center,Laguna Niguel,California,92677,United States,33.53024490477335,-117.70095302000642,"Laguna Niguel, Orange County, California, 92677, United States","92677 , Laguna Niguel , California"
12,"Academy Medical, LLC",West Palm Beach,Florida,33409,United States,26.71383221975684,-80.092206643769,"West Palm Beach, Palm Beach County, Florida, 33409, United States","33409 , West Palm Beach , Florida"
13,"Ace Surgical Supply Co., Inc.",Brockton,Massachusetts,2301,United States,42.0834335,-71.0183787,"Brockton, Plymouth County, Massachusetts, United States","2301 , Brockton , Massachusetts"
14,Active Medical,Sandy,Utah,84070,United States,40.57191675555556,-111.8896127148148,"Sandy, Salt Lake County, Utah, 84070, United States","84070 , Sandy , Utah"
15,"Acuity Surgical Devices, LLC",Irving,Texas,75063,United States,32.9216165752,-96.96499905216,"Irving, Dallas County, Texas, 75063, United States","75063 , Irving , Texas"
16,Adler Instrument Company,Brooksville,Florida,34601,United States,28.565728695315315,-82.37776907639639,"Brooksville, Hernando County, Florida, 34601, United States","34601 , Brooksville , Florida"
17,Advanced Biologics LLC,Carlsbad,California,92008,United States,33.15459300100365,-117.33109556872265,"Carlsbad, San Diego County, California, 92008, United States","92008 , Carlsbad , California"
18,"Advanced Fertility & Reproductive Medicine, THMG",West Reading,Pennsylvania,19611,United States,40.3337038,-75.9474322,"West Reading, Berks County, Pennsylvania, United States","19611 , West Reading , Pennsylvania"
19,"Advanced Fertility Associates Medical Group, Inc.",Santa Rosa,California,95405,United States,38.439203298716365,-122.6734878606827,"Santa Rosa, Sonoma County, California, 95405, United States","95405 , Santa Rosa , California"
20,"Advanced Fertility Care, PLLC, Arizona Advanced Reproductive Laboratory, LLC",Scottsdale,Arizona,85258,United States,33.601489650000005,-111.8493395463428,"Central Arizona Project Canal, Taliesin West, Scottsdale, Maricopa County, Arizona, United States","85258 , Scottsdale , Arizona"
21,Advanced Fertility Center of Chicago,Gurnee,Illinois,60031,United States,42.391852,-87.89408420121015,"Illinois Air Team Waukegan Test Station, North Northwestern Avenue, Waukegan, Lake County, Illinois, 60031, United States","60031 , Gurnee , Illinois"
22,"Advanced Fertility Group, P.C.",Indianapolis,Indiana,46280,United States,39.7683331,-86.1583502,"Indianapolis, Marion County, Indiana, United States","46280 , Indianapolis , Indiana"
23,"Advanced Fertility Group, PC",Evansville,Indiana,47714,United States,37.96312578209877,-87.522989395679,"Evansville, Vanderburgh County, Indiana, 47714, United States","47714 , Evansville , Indiana"
24,"Advanced Fertility Services, P.C.",New York,New York,10128,United States,40.7127281,-74.0060152,"City of New York, New York, United States","10128 , New York , New York"
25,Advanced Institute Charles E. Miller and Associate,Naperville,Illinois,60540,United States,41.76696927619604,-88.16195085087516,"Naperville, DuPage County, Illinois, 60540, United States","60540 , Naperville , Illinois"
26,"Advanced NuMed Technologies, Ltd.",Tulsa,Oklahoma,74137,United States,36.03411796072586,-95.93741055975372,"Tulsa, Tulsa County, Oklahoma, 74137, United States","74137 , Tulsa , Oklahoma"
27,"Advanced Reproduction Institute, LLC",Evansville,Indiana,47714,United States,37.96312578209877,-87.522989395679,"Evansville, Vanderburgh County, Indiana, 47714, United States","47714 , Evansville , Indiana"
28,"Advanced Reproductive Concepts, Pllc",Charlotte,North Carolina,28207,United States,35.349542150000005,-80.86434492512674,"North Carolina Department of Transportation, Northlake, Charlotte, Mecklenburg County, North Carolina, United States","28207 , Charlotte , North Carolina"
29,"Advanced Reproductive Health Centers LTD, Chicago IVF",Valparaiso,Indiana,46383,United States,41.49217494675214,-87.0397742011966,"Valparaiso, Porter County, Indiana, 46383, United States","46383 , Valparaiso , Indiana"
30,Advanced Reproductive Health Centers Ltd dba Chicago IVF,Orland Park,Illinois,60467,United States,41.630663,-87.8536288,"Orland Park, Orland Township, Cook County, Illinois, 60462, United States","60467 , Orland Park , Illinois"
31,"Advanced Reproductive Health Centers, Ltd",Lincolnwood,Illinois,60712,United States,42.00552476293532,-87.73067043606966,"Lincolnwood, Niles Township, Cook County, Illinois, 60712, United States","60712 , Lincolnwood , Illinois"
32,"Advanced Reproductive Medicine & Gynecology of Hawaii, Inc.",Honolulu,Hawaii,96814,United States,21.2967432628125,-157.84543497843748,"Honolulu, Honolulu County, Hawaii, 96814, United States","96814 , Honolulu , Hawaii"
33,"Advanced Reproductive Medicine & Surgery, P.C.",Bloomfield Hills,Michigan,48302,United States,42.583645,-83.2454883,"Bloomfield Hills, Oakland County, Michigan, United States","48302 , Bloomfield Hills , Michigan"
34,Advanced Reproductive Medicine - University of Colorado Hospital,Aurora,Colorado,80045,United States,39.74571575670103,-104.83800912371132,"Aurora, Adams County, Colorado, 80045, United States","80045 , Aurora , Colorado"
35,Advanced Reproductive Medicine at Univ. of Colorado Denver,Colorado Springs,Colorado,80920,United States,38.946447611702126,-104.77665368244682,"Colorado Springs, El Paso County, Colorado, 80920, United States","80920 , Colorado Springs , Colorado"
36,"Advanced Reproductive Specialists, LLC",Winter Park,Florida,32792,United States,28.59331772345317,-81.32044866408863,"Winter Park, Orange County, Florida, 32792, United States","32792 , Winter Park , Florida"
37,"Advanced Reproductive Technologies of Santa Barbara, LLC.",Santa Barbara,California,93101,United States,34.42031194408205,-119.70934631598288,"Santa Barbara, Santa Barbara County, California, 93101, United States","93101 , Santa Barbara , California"
38,Advancing Sight Network,Birmingham,Alabama,35209,United States,33.5206824,-86.8024326,"Birmingham, Jefferson County, Alabama, United States","35209 , Birmingham , Alabama"
39,Advancing Sight Network North Alabama Regional Office,Huntsville,Alabama,35801,United States,34.729847,-86.5859011,"Huntsville, Madison County, Alabama, 35804, United States","35801 , Huntsville , Alabama"
40,Advancing Sight Network Southeast Regional Office,Montgomery,Alabama,36117,United States,32.369152393773824,-86.17432418348157,"Montgomery, Montgomery County, Alabama, 36117, United States","36117 , Montgomery , Alabama"
41,Advocate Lutheran General Hospital Transfusion Services,Park Ridge,Illinois,60068,United States,42.016099562476896,-87.83363720702403,"Park Ridge, Maine Township, Cook County, Illinois, 60068, United States","60068 , Park Ridge , Illinois"
42,Aesculap Inc,Hazelwood,Missouri,63042,United States,38.77466479288136,-90.37734134101694,"Hazelwood, Saint Louis County, Missouri, 63042, United States","63042 , Hazelwood , Missouri"
43,Alabama Eye Bank Southwest Regional Office,Mobile,Alabama,36604,United States,30.683802186534656,-88.06057528019802,"Mobile, Mobile County, Alabama, 36604, United States","36604 , Mobile , Alabama"
44,Alabama Organ Center - Mobile Region,Mobile,Alabama,36609,United States,30.660301839848195,-88.16430093586338,"Mobile, Mobile County, Alabama, 36609, United States","36609 , Mobile , Alabama"
45,"Albany IVF Fertility and Gynecology, P.L.L.C.",Loudonville,New York,12211,United States,42.70559785498418,-73.76876375132515,"Loudonville, Town of Colonie, Albany County, New York, 12211, United States","12211 , Loudonville , New York"
46,Albany Medical Center Hospital,Albany,New York,12208,United States,42.65623513692288,-73.79919614401811,"City of Albany, Albany County, New York, 12208, United States","12208 , Albany , New York"
47,Albrecht Women's Care,Englewood,Colorado,80112,United States,39.541827,-104.84612446579108,"Douglas County Soccer Association / REAL Colorado, Englewood, Douglas County, Colorado, 80112, United States","80112 , Englewood , Colorado"
48,"Alfred J. Rodriguez, M.D., P.A.",Plano,Texas,75093,United States,33.03849155019701,-96.80893476367218,"Plano, Collin County, Texas, 75093, United States","75093 , Plano , Texas"
49,Allen Reproductive Center,Mckinney,Texas,75070,United States,33.17769772071902,-96.68243141646168,"McKinney, Collin County, Texas, 75070, United States","75070 , Mckinney , Texas"
50,Allied Orthopedic Associates Inc,Glen Burnie,Maryland,21061,United States,39.1626298,-76.6250756,"Glen Burnie, Anne Arundel County, Maryland, 21061, United States","21061 , Glen Burnie , Maryland"
51,"Allied Orthopedic Associates, Inc.",Trappe,Pennsylvania,19426,United States,40.1996931,-75.4779074,"Trappe, Montgomery County, Pennsylvania, United States","19426 , Trappe , Pennsylvania"
52,Allina Health Medical Laboratories - Andrology Laboratory,Minneapolis,Minnesota,55407,United States,44.93830745993757,-93.25306516371836,"Minneapolis, Hennepin County, Minnesota, 55407, United States","55407 , Minneapolis , Minnesota"
53,Allo Source,Altoona,Iowa,50009,United States,41.64647648174758,-93.4846929662136,"Altoona, Polk County, Iowa, 50009, United States","50009 , Altoona , Iowa"
54,AlloSource Inc,Cincinnati,Ohio,45202,United States,39.1078525383592,-84.51022905133037,"Over-the-Rhine, Cincinnati, Hamilton County, Ohio, 45202, United States","45202 , Cincinnati , Ohio"
55,AlloSource Inc.,San Diego,California,92108,United States,32.772645411884554,-117.13512520305602,"San Diego, San Diego County, California, 92108, United States","92108 , San Diego , California"
56,"AlloSource, Inc.",Centennial,Colorado,80111,United States,39.6053331,-104.9355941,"South Colorado Boulevard, Centennial, Arapahoe County, Colorado, 80121, United States","80111 , Centennial , Colorado"
57,AlloSurgical,Simi Valley,California,93063,United States,34.27739299336219,-118.6816862116883,"Simi Valley, Ventura County, California, 93063, United States","93063 , Simi Valley , California"
58,"Allotech, LLC",Lubbock,Texas,79424,United States,33.515238070731705,-101.9279002740418,"Lubbock, Lubbock County, Texas, 79424, United States","79424 , Lubbock , Texas"
59,"Allotex, Inc",Boston,Massachusetts,2210,United States,42.10916065,-71.2460194,"2210, Boston Providence Highway, South Walpole, Walpole, Norfolk County, Massachusetts, 02071, United States","2210 , Boston , Massachusetts"
60,"Alon Medical Technology, LLC",Lafayette,Louisiana,70503,United States,30.180587179303675,-92.0541519065764,"Lafayette, Lafayette Parish, Louisiana, 70503, United States","70503 , Lafayette , Louisiana"
61,"Alpha Orthopedic Systems, LLC",Louisville,Kentucky,40299,United States,38.1875832,-85.4873734,"Blue Moon Canoe and Kayak of Kentucky, 4002, South Pope Lick Road, Louisville, Jefferson County, Kentucky, 40299, United States","40299 , Louisville , Kentucky"
62,"Alpha Tissue, Inc",Stone Mountain,Georgia,30083,United States,32.870021,-83.763556,"Stone Mountain, Tara, Macon, Bibb County, Georgia, 31220, United States","30083 , Stone Mountain , Georgia"
63,"Alphacord, LLC",Scottsdale,Arizona,85260,United States,33.6024305523068,-111.8834736572574,"Scottsdale, Maricopa County, Arizona, 85260, United States","85260 , Scottsdale , Arizona"
64,Alta Bates IVF Program,Berkeley,California,94705,United States,37.85555323859649,-122.26061287192984,"Berkeley, Alameda County, California, 94705, United States","94705 , Berkeley , California"
65,Altus Partners LLC dba Altus Spine,West Chester,Pennsylvania,19380,United States,39.983306613707455,-75.59624259190431,"West Goshen Township, Chester County, Pennsylvania, 19380, United States","19380 , West Chester , Pennsylvania"
66,"America Institute of Reproductive Medicine, LLC",Birmingham,Alabama,35209,United States,33.5206824,-86.8024326,"Birmingham, Jefferson County, Alabama, United States","35209 , Birmingham , Alabama"
67,American CryoStem Corporation,Monmouth Junction,New Jersey,8852,United States,40.3789957,-74.5465436,"Monmouth Junction, South Brunswick, Middlesex County, New Jersey, 08852, United States","8852 , Monmouth Junction , New Jersey"
68,American Donor Services,Cottage Grove,Minnesota,55016,United States,44.831868251967215,-92.93762523836064,"Cottage Grove, Washington County, Minnesota, 55016, United States","55016 , Cottage Grove , Minnesota"
69,"American Egg Bank, LLC",Houston,Texas,77092,United States,29.828906083923304,-95.4705428859882,"Houston, Harris County, Texas, 77092, United States","77092 , Houston , Texas"
70,"American Fertility Medical Center - Genetic Infertility & Andrology Laboratory, Inc.",Irvine,California,92618,United States,33.678814928479,-117.7440965949406,"Orange County Great Park, Irvine, Orange County, California, 92618, United States","92618 , Irvine , California"
