FEI Number,Legal Name,Ignore,Website,AddressProvided,City,State,Zip,Country/Area,Fiscal Year,Inspection ID,Posted Citations,Inspection End Date,Classification,Project Area,Product Type,FMD-145 Date
3007867618,Bio Cell And Tissue Technologies,-,http://biocett.com/,-,Salt Lake City,Utah,84108,United States,2020,1112438,No,11/6/2019,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3007867618,Bio Cell And Tissue Technologies,-,http://biocett.com/,-,Salt Lake City,Utah,84108,United States,2017,1010570,No,4/25/2017,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3007946244,Bio Tech Med Corp.,-,http://biotechmedical.com.my/,-,San German,Puerto Rico,683,United States,2020,1117665,No,1/31/2020,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3007946244,Bio Tech Med Corp.,-,http://biotechmedical.com.my/,-,San German,Puerto Rico,683,United States,2018,1037952,No,12/7/2017,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3007946244,Bio Tech Med Corp.,-,http://biotechmedical.com.my/,-,San German,Puerto Rico,683,United States,2016,947311,No,10/27/2015,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3011548632,GenCure,-,http://gencurepharma.com/,-,Weslaco,Texas,78596,United States,2019,1084232,No,3/5/2019,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3011548632,GenCure,-,http://gencurepharma.com/,-,Weslaco,Texas,78596,United States,2017,994064,No,11/29/2016,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005235489,Innotek Medical Products Inc.,-,http://innotekmedical.com/,-,Oak Brook,Illinois,60523,United States,2017,1014703,No,5/25/2017,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005235489,Innotek Medical Products Inc.,-,http://innotekmedical.com/,-,Oak Brook,Illinois,60523,United States,2015,914272,No,2/12/2015,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005235489,Innotek Medical Products Inc.,-,http://innotekmedical.com/,-,Oak Brook,Illinois,60523,United States,2022,1171773,No,6/9/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3003523239,Interventional Spine Inc,-,http://interventionalspine.net/,-,Irvine,California,92618,United States,2016,984902,No,9/6/2016,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3013919550,Osteobiologic Solutions Inc,-,http://osteobiologicsolutions.com/,-,Magnolia,Texas,77354,United States,2020,1114695,No,12/16/2019,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3013919550,Osteobiologic Solutions Inc,-,http://osteobiologicsolutions.com/,-,Magnolia,Texas,77354,United States,2019,1074149,No,10/25/2018,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3011581281,"Osteobiologic Solutions, Inc.,",-,http://osteobiologicsolutions.com/,-,The Woodlands,Texas,77381,United States,2017,1014005,No,1/13/2017,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3011396164,"Saura Medical, LLC",-,http://sauramed.com/,-,Las Vegas,Nevada,89120,United States,2018,1036912,No,11/30/2017,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3011396164,"Saura Medical, LLC",-,http://sauramed.com/,-,Las Vegas,Nevada,89120,United States,2016,964142,No,1/15/2016,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005977257,"SpineFrontier, Inc.",-,http://spinefrontier.com/,-,Malden,Massachusetts,2148,United States,2018,1036897,No,11/29/2017,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005977257,"SpineFrontier, Inc.",-,http://spinefrontier.com/,-,Malden,Massachusetts,2148,United States,2016,960829,No,2/10/2016,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005825762,US Stem Cell Inc,-,http://us-stemcell.com/,-,Sunrise,Florida,33325,United States,2015,906992,No,12/5/2014,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3006982954,"VGI Medical, LLC",-,http://vgimedical.com/,-,Largo,Florida,33773,United States,2017,1028394,No,5/31/2017,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3006982954,"VGI Medical, LLC",-,http://vgimedical.com/,-,Largo,Florida,33773,United States,2015,928679,No,6/3/2015,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3006813595,"AssureImmune, LLC",-,http://www.assureimmune.com/,-,Miami,Florida,33136,United States,2020,1121360,No,2/12/2020,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3006813595,"AssureImmune, LLC",-,http://www.assureimmune.com/,-,Miami,Florida,33136,United States,2018,1034907,No,11/8/2017,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3013224369,"Duma Co Sciences, LLC",-,http://www.dumacosciences.com/,-,Dallas,Texas,75287,United States,2020,1118245,No,1/22/2020,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3013224369,"Duma Co Sciences, LLC",-,http://www.dumacosciences.com/,-,Dallas,Texas,75287,United States,2018,1041196,No,2/5/2018,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005836954,"Fibrocell Technologies, Inc.",-,http://www.fibrocell.com/technology/index.html,-,Exton,Pennsylvania,19341,United States,2015,931277,No,10/31/2014,Voluntary Action Indicated (VAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3007110116,Fisher BioServices,-,http://www.fisherbioservices.com/,-,Rockville,Maryland,20850,United States,2017,1009741,No,4/21/2017,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005332475,Fisher Bioservices,-,http://www.fisherbioservices.com/,-,Rockville,Maryland,20850,United States,2016,970723,No,5/20/2016,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3003828812,Hans Biomed Corporation,-,http://www.hansbiomed.com/en/,-,Yusung,-,-,Korea (the Republic of),2019,1091073,No,4/5/2019,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3010146368,"Hausten Healthcare, LLC",-,http://www.hausten-h.com/english/,-,Honolulu,Hawaii,96826,United States,2015,912175,No,1/23/2015,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3008450678,Liventa Bioscience Inc.,-,http://www.liventabioscience.com/,-,Conshohocken,Pennsylvania,19428,United States,2015,904065,No,11/18/2014,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3007936027,"OsteoLife Biomedical, LLC",-,http://www.osteolifebiomedical.com/,-,Jupiter,Florida,33458,United States,2020,1111921,No,10/18/2019,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3007936027,"OsteoLife Biomedical, LLC",-,http://www.osteolifebiomedical.com/,-,Jupiter,Florida,33458,United States,2017,1028926,No,8/15/2017,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3008940818,"Surgilogix, LLC",-,http://www.surgilogix.com/,-,San Antonio,Texas,78231,United States,2019,1095588,No,6/11/2019,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3008940818,"Surgilogix, LLC",-,http://www.surgilogix.com/,-,San Antonio,Texas,78231,United States,2015,922597,No,4/16/2015,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3009460824,Tri-State Biologics Inc.,-,http://www.tristatebiologics.com/,-,Secaucus,New Jersey,7094,United States,2019,1097263,No,7/18/2019,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3009460824,Tri-State Biologics Inc.,-,http://www.tristatebiologics.com/,-,Secaucus,New Jersey,7094,United States,2015,939326,No,8/19/2015,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
