,FEI Number,Legal Name,Ignore,Website,AddressProvided,City,State,Zip,Country/Area,Fiscal Year,Inspection ID,Posted Citations,Inspection End Date,Classification,Project Area,Product Type,FMD-145 Date
1208,3007268508.0,Fort Worth Fertility P.A.,yes,-,-,Fort Worth,Texas,76104,United States,2022.0,1160189.0,No,12/28/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2222,3003414712.0,Reproductive Resources Inc.,yes,-,-,Metairie,Louisiana,70006,United States,2022.0,1166937.0,No,3/10/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
136,3000215042.0,Mississippi Organ Recovery Agency Inc,yes,https://msora.org/,-,Flowood,Mississippi,39232,United States,2022.0,1172646.0,No,5/25/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
650,3017876968.0,"Aurora Health Care, Fertility Clinic",yes,-,-,Kenosha,Wisconsin,53142,United States,2022.0,1158812.0,No,12/10/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
309,3008914686.0,Dendreon Pharmaceuticals LLC,yes,https://www.dendreon.com/,-,Union City,Georgia,30291,United States,2022.0,1169722.0,No,4/21/2022,Voluntary Action Indicated (VAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2418,3005667457.0,Shady Grove Reproductive Science Center,yes,-,-,Columbia,Maryland,21044,United States,2022.0,1173096.0,No,5/19/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
306,3012673301.0,SAFC Carlsbad Inc.,yes,https://www.dandb.com/businessdirectory/safccarlsbadinc.-carlsbad-ca-238239.html,-,Carlsbad,California,92009,United States,2022.0,1159031.0,No,12/16/2021,Voluntary Action Indicated (VAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1879,3002733251.0,"New England Cryogenic Center, Inc.",yes,-,-,Marlborough,Massachusetts,1752,United States,2022.0,1158602.0,No,11/3/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
303,3014349111.0,PLATFORM LLC,yes,https://www.ctcompanydir.com/companies/platform-llc/,-,Plainville,Connecticut,6062,United States,2022.0,1166929.0,No,4/6/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
143,3008865245.0,"NuTech Spine, Inc.",yes,https://nutechspine.com/,-,Birmingham,Alabama,35223,United States,2022.0,1155920.0,No,10/27/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2928,1676815.0,South Texas Blood & Tissue Center,yes,https://www.aatb.org/south-texas-blood-tissue-center,-,San Antonio,Texas,78201,United States,2022.0,1172990.0,No,6/9/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
643,3008927424.0,"Audubon Fertility, LLC",yes,-,-,New Orleans,Louisiana,70115,United States,2022.0,1158208.0,No,11/12/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2925,1172512.0,University Of Virginia Health System,yes,https://uvahealth.com/,-,Charlottesville,Virginia,22908,United States,2022.0,1170707.0,No,5/13/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2185,3017585297.0,Reproductive Medicine Associates of New Jersey,yes,-,-,Marlton,New Jersey,8053,United States,2022.0,1157261.0,No,10/28/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2225,3005103245.0,"Reproductive Science Center of New Jersey, P.A.",yes,-,-,Eatontown,New Jersey,7724,United States,2022.0,1166215.0,No,3/29/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2923,1049604.0,University of Louisville Health - University of Louisville Hospital,yes,https://uoflhealth.org/locations/uofl-hospital/,-,Louisville,Kentucky,40202,United States,2022.0,1161458.0,No,12/28/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
520,3014188529.0,3D Dental Designs and Development LLC,yes,-,-,Shaker Heights,Ohio,44120,United States,2022.0,1155936.0,No,10/28/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2919,1000517650.0,UNM Hospitals,yes,https://unmhealth.org/locations/unm-hospital/,-,Albuquerque,New Mexico,87106,United States,2022.0,1157844.0,No,11/22/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
154,3003410694.0,Organogenesis Inc.,-,https://organogenesis.com/,-,Vestavia Hills,Alabama,35216,United States,2022.0,1158368.0,No,12/1/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2918,3008360896.0,Universal Medical Products Inc,yes,https://universal.md/,-,Perrysburg,Ohio,43551,United States,2022.0,1169343.0,No,5/5/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2395,3020161200.0,Shady Grove Fertility Jones Institute,yes,-,-,Norfolk,Virginia,23507,United States,2022.0,1161505.0,No,12/21/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2914,3009838443.0,The Cord Blood Bank of Arkansas (UAMS),yes,https://uamshealth.com/,"Little Rock, AR 72205",Little Rock,Arkansas,72205,United States,2022.0,1174887.0,No,7/13/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2911,3012925428.0,Tennessee Fertility Institute,yes,https://tnfertility.com/,-,Franklin,Tennessee,37067,United States,2022.0,1165960.0,No,3/30/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
