FEI Number,Legal Name,City,State,Zip,Country/Area,Fiscal Year,Inspection ID,Posted Citations,Inspection End Date,Classification,Project Area,Product Type,FMD-145 Date
3009838443,The Cord Blood Bank of Arkansas (UAMS),Little Rock,Arkansas,72205,United States,2022,1174887,No,07/13/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3017451050,Xytex Laboratories,Marietta,Georgia,30060,United States,2022,1175637,No,07/13/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3012822744,"Eurofins Donor & Product Testing, Inc. Atlanta",Marietta,Georgia,30067,United States,2022,1174965,No,07/12/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3013225167,Aspire Fertility Institute McAllen,Mcallen,Texas,78504,United States,2022,1175325,No,07/12/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3011394270,"New Jersey Organ & Tissue Sharing Network, Inc.",Edison,New Jersey,08837,United States,2022,1173810,No,07/05/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3008847058,"Mid-Atlantic Surgical Systems, LLC",Carnegie,Pennsylvania,15106,United States,2022,1173785,No,06/30/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3009378925,"Wright Medical Technology, Inc.",Orlando,Florida,32822,United States,2022,1172462,No,06/15/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1000526836,Laboratory Corp. of America,Raritan,New Jersey,08869,United States,2022,1173018,No,06/15/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005956797,"Wright Medical Technology, Inc. - District Service Center - St. Louis",Fenton,Missouri,63026,United States,2022,1173188,No,06/14/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3008773451,Reproductive Medicine Associates of Philadelphia,King of Prussia,Pennsylvania,19406,United States,2022,1172209,No,06/10/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005235489,Innotek Medical Products Inc.,Oak Brook,Illinois,60523,United States,2022,1171773,No,06/09/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3003380161,"Promethean LifeSciences, Inc.",Pittsburgh,Pennsylvania,15219,United States,2022,1172008,No,06/09/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3020027017,"San Francisco Fertility Centers, A Medical Corporation",Greenbrae,California,94904,United States,2022,1172386,No,06/09/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1676815,South Texas Blood & Tissue Center,San Antonio,Texas,78201,United States,2022,1172990,No,06/09/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1070647,Emory Decatur Hospital,Decatur,Georgia,30033,United States,2022,1172581,No,06/08/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3003374197,Donor Network of Arizona,Tempe,Arizona,85281,United States,2022,1174148,No,06/06/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3003926603,Center for Reproductive Medicine,Winter Park,Florida,32789,United States,2022,1171489,No,06/02/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3003892518,The Valley Hospital Fertility Center,Paramus,New Jersey,07652,United States,2022,1171684,No,06/02/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3010646515,"Shady Grove Fertility Center of Pennsylvania, PLLC",Mechanicsburg,Pennsylvania,17050,United States,2022,1171769,No,06/02/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005667781,Shady Grove Reproductive Science Center PC,Leesburg,Virginia,20176,United States,2022,1173126,No,06/02/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005043101,Sanford Health Reproductive Medicine Institute,Fargo,North Dakota,58104,United States,2022,1172544,No,05/31/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3018120243,LifeNet Health (Sabre Street),Virginia Beach,Virginia,23452,United States,2022,1173687,No,05/31/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3001236642,Advancing Sight Network,Birmingham,Alabama,35209,United States,2022,1170771,No,05/26/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3017876311,CNY Fertility Center,Williamsville,New York,14221,United States,2022,1170861,No,05/26/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3009882464,"Synergy Health AST, LLC",Saxonburg,Pennsylvania,16056,United States,2022,1171195,No,05/26/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3014256090,Shady Grove Fertility of Pennsylvania,Warrington,Pennsylvania,18976,United States,2022,1171370,No,05/26/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3003947376,American Donor Services,Cottage Grove,Minnesota,55016,United States,2022,1172621,No,05/26/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3011120523,"Mount Sinai Health System (MSHS), Mount Sinai Hospital Hess Center for Science and Medicine",New York,New York,10029,United States,2022,1170792,No,05/25/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3000215042,Mississippi Organ Recovery Agency Inc,Flowood,Mississippi,39232,United States,2022,1172646,No,05/25/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3015932579,"Cell Therapy and Graft Engineering, RUSH University Medical Center",Chicago,Illinois,60612,United States,2022,1175099,No,05/25/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3020118190,Thread Labs Santa Barbara LLC,Santa Barbara,California,93105,United States,2022,1171403,No,05/24/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3008286979,"Hudson Valley Fertility, PLLC",Fishkill,New York,12524,United States,2022,1170360,No,05/20/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3017876301,"Fahimeh Sasan, D.O., P.C.",Los Angeles,California,90067,United States,2022,1170504,No,05/20/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3001238470,LifeLink of Puerto Rico,Guaynabo,Puerto Rico,00968,United States,2022,1170936,No,05/20/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3017723221,Gonadal Tissue Processing Ste Ann & Robert H Lurie Childrens Hospital of Chicago,Chicago,Illinois,60611,United States,2022,1173713,No,05/20/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3004849839,"Vitalife, Inc.",San Juan,Puerto Rico,00927,United States,2022,1170934,No,05/19/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005667457,Shady Grove Reproductive Science Center,Columbia,Maryland,21044,United States,2022,1173096,No,05/19/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3003369735,Ann & Robert H Lurie Children's Hospital of Chicago,Chicago,Illinois,60611,United States,2022,1173961,No,05/18/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3003926612,"Fertility Center and Applied Genetics of Florida, Inc.",Sarasota,Florida,34233,United States,2022,1171193,No,05/17/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3020023225,New York University Langone Fertility Center,New York,New York,10001,United States,2022,1169534,No,05/13/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3014442322,LifeNet Health,Virginia Beach,Virginia,23453,United States,2022,1170107,No,05/13/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1172512,University Of Virginia Health System,Charlottesville,Virginia,22908,United States,2022,1170707,No,05/13/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3003646540,"Unicare Biomedical, Inc.",Laguna Hills,California,92653,United States,2022,1169384,No,05/11/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2571104,Reading Hospital,West Reading,Pennsylvania,19611,United States,2022,1170357,No,05/11/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3008360896,Universal Medical Products Inc,Perrysburg,Ohio,43551,United States,2022,1169343,No,05/05/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3005463425,American Tissue Services Foundation,Kimberly,Wisconsin,54136,United States,2022,1170922,No,05/04/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3013962812,"Extend Fertility, LLC",New York,New York,10019,United States,2022,1169326,No,05/03/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
